channel_id,channel_name,channel_view_count,channel_sub_count,channel_video_count
UCvy1Mv8nsSohI2rMH7kK4ow,The Vegan Society,820334,8120,170
UC0iMjvN9QJUhNK5Ti6_FAjw,MehtaEthics,34557,576,37
UCV8d4At_1yUUgpsnqyDchrw,That Vegan Couple,26451145,133000,857
UCIUwTruYMuyEcnGiD_eHpLg,alvopenrescue,346940,475,45
UC7vTq7aY0zIbr8a2Fa0a_Zw,Fitshortie,854344432,1790000,733
UCYosP-Tr1vC5Wepvn70RCVA,Reading Vegan Outreach,233,6,1
UCZBUkbD16s09b8f2Q_AvkOw,Million Vegan Grandmothers,45680,2680,324
UC4SOlpa8X33igJJzX94RJiA,Okon Bros,952567,4490,449
UCw-JiCSn29MdBYX5rRxuacQ,Nimai Delgado,7239484,152000,156
UCNdeyEEYPP8oXAMzxEQPhIw,Highvan,9278734,60800,40
UCEYT6DNlanqtpQdQryX88ag,365 Vegans,54658,821,133
UCzN7S0O87X-Q1CJqyWnJ9mw,Playing With Fire,86401304,234000,2090
UCJqm16mHsfvzCBUmSjjcr5Q,marchforelephants,11664,34,9
UCjOKgw4ndKt52LTESwqvAGg,Plantriotic,9181638,38600,1275
UCc5zul6LPDi5Hq0aowUNoxw,Seb Alex,128002,12100,30
UCGDLtGanlPZLidEGP2N39CA,Veganuary,1037301,18700,336
UCTyuybXeUCxvnUVBsOkyfsw,Stichting NoFap,1952509,4410,417
UCtNneKeq8r8KQMZHY7jKe1w,The Ramm's Den,108170,2380,58
UCl1J5_Q_o9YqN-64lhToU2Q,Joshua Entis,187318,4270,64
UCLW0TEV3YEt-J56pYZm-TgA,Gary Yourofsky,7691968,135000,123
UCzKxisu0zzeaFpM8XnRVMhg,Habitat Botanicals,6834,72,36
UC4m17whgO_4uf2yCOjtFg_Q,FITXFEARLESS,194803175,611000,2240
UCZQu95dIBQSvuP_0URa-jFA,"Dr. Matthew Nagra, ND",998323,8020,378
UCBa4PFp85WLj6T6HYVF0FdQ,George Martin | Carnism Debunked,437862,5290,194
UCvQECJukTDE2i6aCoMnS-Vg,Big Think,909607676,7990000,9468
UCMotfyZJYlBA4GYeYYmgWDQ,Taty Melo (xtatyx),2888,30,53
UCwgaE3AlYxzpEK8J01xYD7w,Gore Grinder,31262243,99400,3576
UCn1bh96RxPWrC1N2xS3xbPA,Jon Camp,16166,1310,3
UCFsgqZPnRi4TizVfRcXPNtg,Animal Justice Academy,22691,807,100
UCJIfeSCssxSC_Dhc5s7woww,Lex Clips,538416417,1510000,8225
UCtbYqEkfmBqXwOd6a5U4_7Q,MIND WITH MUSCLE,556271984,1390000,1126
UCJ_y0RIukD-3fvLQfDlUjtQ,World Vegan Vision,22328,225,88
UCVLZmDKeT-mV4H3ToYXIFYg,Insider Tech,1712571695,4200000,4346
UCUPQjZzb_Gf_EuXTjAbGBnw,Physicians Committee,60620527,483000,1343
UCrR45-PQv6TCwUCSPJ1ud2g,Bobby's Perspective,81452570,373000,1362
UCNF0xxoXH1W5xjse77nCm9Q,BiteBackGermany,203150,479,20
UCIzoXID3Km2jUr60tz4vR6g,Viva! The Vegan Charity,16181690,16500,1077
UCU3pkarYNcDa1rB-ciGTwVA,Being Enlightened,19085734,47700,53
UCn8LBQ7-_HjVRvMI4dfN0VQ,Wayne Hsiung,324332,3150,162
UCnOoUHQzmK3iaW7l3qJfxEw,Type One Talks,43799207,382000,210
UCVol5GCwjM7W9YpM6Bw06MA,North East Animal Rights,37549,207,314
UC2ZWX3GJfAIeRFWN91t09ww,Hench Herbivore,9818511,62700,1654
UCFuLNktnqqBEF_9ZcmjC_bw,Vegetable Police,43963140,187000,2086
UCzEWRoq9ijet9AWp4TM6nMA,Crafts Working Days,119078301,76600,4296
UCFama0Ele0u3iKf4whi-Gwg,Emil Guillermo,243351,351,2241
